rendszam,ido_mp,osszeg_euro,fizetesi_mod
ABC-123,842,18.45,kártya
QWE-918,1560,42.10,kp
HJK-552,230,7.80,utalás
RTZ-441,980,25.60,csekk
LMN-204,3120,68.90,kártya
XCV-777,450,12.30,-
BGT-661,1780,39.99,kp
PLM-990,2050,51.25,kártya
UYT-345,660,15.70,utalás
KLO-128,1440,33.40,csekk
DFA-451,820,20.15,kártya
MNB-372,2750,72.00,kp
TRE-888,520,13.50,-
YUI-563,910,22.75,utalás
FGH-217,1880,46.30,kártya
CVB-149,300,9.20,csekk
IOP-674,1210,28.60,kp
WER-331,2450,60.00,kártya
ASD-982,710,17.40,-
GHJ-508,1340,31.25,utalás
ZXC-761,2220,55.55,kp
BNM-432,430,11.10,kártya
JKL-100,1650,40.80,csekk
POI-259,780,19.60,kp
VFR-843,2920,75.45,utalás
TGB-652,610,14.95,kártya
NHY-714,980,23.30,-
EDC-390,2010,49.99,kp
RFV-205,350,8.75,csekk
IKM-771,1570,37.20,kártya
OLP-118,2480,63.10,utalás
QAZ-901,870,21.45,kp
WSX-762,1330,30.00,-
EDC-554,490,12.80,kártya
RFV-321,1810,44.70,csekk
TGB-607,2700,70.25,kp
YHN-455,540,13.60,utalás
UJM-808,960,24.15,kártya
IKO-672,2230,56.80,-
PLK-110,1450,34.50,kp
MJU-399,760,18.20,csekk
NHB-246,1980,48.40,kártya
BGV-731,410,10.55,utalás
VFC-853,1740,41.90,kp
CDE-469,2860,73.80,kártya
FGT-580,620,15.10,-
HYU-319,1090,26.45,csekk
JKI-742,2390,59.99,kp
LOP-951,340,8.95,utalás
MKO-666,1530,36.75,kártya
NJI-443,890,22.10,-
BHU-290,2670,69.40,csekk
VGT-804,570,14.25,kp
CFR-112,1180,27.80,kártya
XDE-928,2100,52.60,utalás
ZRT-500,460,11.90,-
QWE-214,1860,45.20,kp
ASD-677,2990,78.15,kártya
ZXC-844,700,16.85,csekk
RTY-371,1270,29.95,utalás
FGH-920,540,13.40,kártya
VBN-281,1720,42.70,-
UIO-738,2610,67.55,kp
PAS-144,380,9.80,csekk
LKJ-559,1490,35.30,kártya
HGF-608,930,23.00,utalás
DSA-470,2150,53.90,kp
MNB-753,610,15.55,-
POI-862,1640,39.10,csekk
IUY-399,2810,74.60,kártya
TRE-145,450,12.15,utalás
WQA-612,1030,25.80,kp
SED-257,1920,47.75,kártya
XSW-741,520,13.25,-
CDE-816,1360,32.40,csekk
RFV-905,2500,64.20,utalás
TGB-318,790,19.15,kp
YHN-667,1110,27.30,kártya
UJM-480,330,8.60,-
IKO-902,1770,43.50,csekk
PLK-275,2890,76.90,kp
MJU-834,640,15.85,kártya
NHB-157,1240,29.40,utalás
BGV-963,2080,51.70,-
VFC-520,410,10.20,csekk
CFR-774,1590,38.60,kp
XDE-301,2740,71.95,kártya
ZRT-888,550,14.10,utalás
QAZ-117,980,24.50,-
WSX-663,1840,44.95,csekk
EDC-940,2950,79.30,kp
RFV-472,720,17.75,kártya
TGB-134,1410,33.20,utalás
YHN-825,360,9.45,-
UJM-596,1960,48.85,csekk
IKO-447,2580,66.10,kp
PLK-731,840,20.90,kártya
MJU-208,1190,28.10,utalás
NHB-904,2260,57.45,-
BGV-615,500,12.70,csekk
VFC-338,1700,41.20,kp
